Fecha aplicación,Año,Cod_Territorio,Nom_Territorio,Cantidad_dosis_aplicadas,fecha_corte
2021-02-17,2021,23,Córdoba,6,2022-02-01
2021-02-17,2021,70,Sucre,12,2022-02-01
2021-02-18,2021,5,Antioquia,1019,2022-02-01
2021-02-18,2021,8001,Barranquilla,631,2022-02-01
2021-02-18,2021,11,Bogotá,5486,2022-02-01
2021-02-18,2021,13001,Cartagena,79,2022-02-01
2021-02-18,2021,23,Córdoba,188,2022-02-01
2021-02-18,2021,25,Cundinamarca,1199,2022-02-01
2021-02-18,2021,68,Santander,185,2022-02-01
2021-02-18,2021,70,Sucre,114,2022-02-01
2021-02-18,2021,76,Valle del Cauca,328,2022-02-01
2021-02-19,2021,5,Antioquia,1196,2022-02-01
2021-02-19,2021,8,Atlántico,85,2022-02-01
2021-02-19,2021,8001,Barranquilla,531,2022-02-01
2021-02-19,2021,11,Bogotá,6990,2022-02-01
2021-02-19,2021,13,Bolívar,282,2022-02-01
2021-02-19,2021,13001,Cartagena,198,2022-02-01
2021-02-19,2021,17,Caldas,638,2022-02-01
2021-02-19,2021,20,Cesar,236,2022-02-01
2021-02-19,2021,23,Córdoba,649,2022-02-01
2021-02-19,2021,25,Cundinamarca,570,2022-02-01
2021-02-19,2021,47,Magdalena,210,2022-02-01
2021-02-19,2021,47001,Santa Marta,492,2022-02-01
2021-02-19,2021,54,Norte de Santander,168,2022-02-01
2021-02-19,2021,63,Quindío,95,2022-02-01
2021-02-19,2021,66,Risaralda,453,2022-02-01
2021-02-19,2021,68,Santander,638,2022-02-01
2021-02-19,2021,70,Sucre,328,2022-02-01
2021-02-19,2021,76,Valle del Cauca,1470,2022-02-01
2021-02-20,2021,5,Antioquia,1492,2022-02-01
2021-02-20,2021,8,Atlántico,203,2022-02-01
2021-02-20,2021,8001,Barranquilla,465,2022-02-01
2021-02-20,2021,11,Bogotá,90,2022-02-01
2021-02-20,2021,13001,Cartagena,197,2022-02-01
2021-02-20,2021,15,Boyacá,676,2022-02-01
2021-02-20,2021,17,Caldas,344,2022-02-01
2021-02-20,2021,19,Cauca,666,2022-02-01
2021-02-20,2021,20,Cesar,294,2022-02-01
2021-02-20,2021,23,Córdoba,488,2022-02-01
2021-02-20,2021,41,Huila,214,2022-02-01
2021-02-20,2021,47001,Santa Marta,228,2022-02-01
2021-02-20,2021,52,Nariño,474,2022-02-01
2021-02-20,2021,54,Norte de Santander,496,2022-02-01
2021-02-20,2021,63,Quindío,156,2022-02-01
2021-02-20,2021,66,Risaralda,311,2022-02-01
2021-02-20,2021,68,Santander,499,2022-02-01
2021-02-20,2021,70,Sucre,168,2022-02-01
2021-02-20,2021,73,Tolima,594,2022-02-01
2021-02-20,2021,76,Valle del Cauca,1637,2022-02-01
2021-02-20,2021,76109,Buenaventura,78,2022-02-01
2021-02-21,2021,5,Antioquia,2028,2022-02-01
2021-02-21,2021,8,Atlántico,270,2022-02-01
2021-02-21,2021,8001,Barranquilla,218,2022-02-01
2021-02-21,2021,13001,Cartagena,108,2022-02-01
2021-02-21,2021,15,Boyacá,396,2022-02-01
2021-02-21,2021,20,Cesar,217,2022-02-01
2021-02-21,2021,41,Huila,102,2022-02-01
2021-02-21,2021,52,Nariño,482,2022-02-01
2021-02-21,2021,54,Norte de Santander,307,2022-02-01
2021-02-21,2021,63,Quindío,168,2022-02-01
2021-02-21,2021,66,Risaralda,96,2022-02-01
2021-02-21,2021,68,Santander,579,2022-02-01
2021-02-21,2021,73,Tolima,492,2022-02-01
2021-02-21,2021,76,Valle del Cauca,692,2022-02-01
2021-02-22,2021,5,Antioquia,735,2022-02-01
2021-02-22,2021,81,Arauca,120,2022-02-01
2021-02-22,2021,8001,Barranquilla,613,2022-02-01
2021-02-22,2021,13001,Cartagena,301,2022-02-01
2021-02-22,2021,18,Caquetá,149,2022-02-01
2021-02-22,2021,85,Casanare,24,2022-02-01
2021-02-22,2021,20,Cesar,101,2022-02-01
2021-02-22,2021,27,Chocó,144,2022-02-01
2021-02-22,2021,41,Huila,271,2022-02-01
2021-02-22,2021,50,Meta,348,2022-02-01
2021-02-22,2021,52,Nariño,447,2022-02-01
2021-02-22,2021,54,Norte de Santander,197,2022-02-01
2021-02-22,2021,86,Putumayo,66,2022-02-01
2021-02-22,2021,63,Quindío,116,2022-02-01
2021-02-22,2021,66,Risaralda,48,2022-02-01
2021-02-22,2021,68,Santander,468,2022-02-01
2021-02-22,2021,70,Sucre,72,2022-02-01
2021-02-22,2021,73,Tolima,257,2022-02-01
2021-02-22,2021,76,Valle del Cauca,928,2022-02-01
2021-02-23,2021,5,Antioquia,100,2022-02-01
2021-02-23,2021,8001,Barranquilla,66,2022-02-01
2021-02-23,2021,11,Bogotá,10,2022-02-01
2021-02-23,2021,13001,Cartagena,337,2022-02-01
2021-02-23,2021,18,Caquetá,96,2022-02-01
2021-02-23,2021,85,Casanare,174,2022-02-01
2021-02-23,2021,20,Cesar,48,2022-02-01
2021-02-23,2021,94,Guainía,20,2022-02-01
2021-02-23,2021,95,Guaviare,79,2022-02-01
2021-02-23,2021,41,Huila,338,2022-02-01
2021-02-23,2021,50,Meta,402,2022-02-01
2021-02-23,2021,52,Nariño,219,2022-02-01
2021-02-23,2021,54,Norte de Santander,162,2022-02-01
2021-02-23,2021,86,Putumayo,48,2022-02-01
2021-02-23,2021,88,San Andrés y Providencia,42,2022-02-01
2021-02-23,2021,68,Santander,19,2022-02-01
2021-02-23,2021,76,Valle del Cauca,89,2022-02-01
2021-02-23,2021,99,Vichada,24,2022-02-01
2021-02-24,2021,91,Amazonas,1783,2022-02-01
2021-02-24,2021,8001,Barranquilla,14,2022-02-01
2021-02-24,2021,11,Bogotá,629,2022-02-01
2021-02-24,2021,13001,Cartagena,30,2022-02-01
2021-02-24,2021,15,Boyacá,2,2022-02-01
2021-02-24,2021,18,Caquetá,25,2022-02-01
2021-02-24,2021,85,Casanare,60,2022-02-01
2021-02-24,2021,20,Cesar,130,2022-02-01
2021-02-24,2021,23,Córdoba,2,2022-02-01
2021-02-24,2021,25,Cundinamarca,1244,2022-02-01
2021-02-24,2021,94,Guainía,154,2022-02-01
2021-02-24,2021,41,Huila,149,2022-02-01
2021-02-24,2021,50,Meta,209,2022-02-01
2021-02-24,2021,52,Nariño,135,2022-02-01
2021-02-24,2021,86,Putumayo,36,2022-02-01
2021-02-24,2021,97,Vaupés,175,2022-02-01
2021-02-25,2021,91,Amazonas,2350,2022-02-01
2021-02-25,2021,5,Antioquia,650,2022-02-01
2021-02-25,2021,8001,Barranquilla,43,2022-02-01
2021-02-25,2021,11,Bogotá,11333,2022-02-01
2021-02-25,2021,15,Boyacá,393,2022-02-01
2021-02-25,2021,85,Casanare,42,2022-02-01
2021-02-25,2021,20,Cesar,24,2022-02-01
2021-02-25,2021,25,Cundinamarca,2709,2022-02-01
2021-02-25,2021,94,Guainía,1126,2022-02-01
2021-02-25,2021,41,Huila,216,2022-02-01
2021-02-25,2021,52,Nariño,19,2022-02-01
2021-02-25,2021,54,Norte de Santander,12,2022-02-01
2021-02-25,2021,86,Putumayo,24,2022-02-01
2021-02-25,2021,63,Quindío,56,2022-02-01
2021-02-25,2021,76,Valle del Cauca,1873,2022-02-01
2021-02-25,2021,97,Vaupés,181,2022-02-01
2021-02-26,2021,91,Amazonas,2587,2022-02-01
2021-02-26,2021,5,Antioquia,2293,2022-02-01
2021-02-26,2021,81,Arauca,116,2022-02-01
2021-02-26,2021,8,Atlántico,240,2022-02-01
2021-02-26,2021,8001,Barranquilla,57,2022-02-01
2021-02-26,2021,11,Bogotá,10055,2022-02-01
2021-02-26,2021,13001,Cartagena,73,2022-02-01
2021-02-26,2021,15,Boyacá,933,2022-02-01
2021-02-26,2021,25,Cundinamarca,3277,2022-02-01
2021-02-26,2021,94,Guainía,1092,2022-02-01
2021-02-26,2021,41,Huila,186,2022-02-01
2021-02-26,2021,44,La Guajira,86,2022-02-01
2021-02-26,2021,52,Nariño,145,2022-02-01
2021-02-26,2021,63,Quindío,484,2022-02-01
2021-02-26,2021,76,Valle del Cauca,1879,2022-02-01
2021-02-26,2021,97,Vaupés,213,2022-02-01
2021-02-26,2021,99,Vichada,18,2022-02-01
2021-02-27,2021,91,Amazonas,1309,2022-02-01
2021-02-27,2021,5,Antioquia,4984,2022-02-01
2021-02-27,2021,81,Arauca,98,2022-02-01
2021-02-27,2021,8,Atlántico,1130,2022-02-01
2021-02-27,2021,8001,Barranquilla,1026,2022-02-01
2021-02-27,2021,11,Bogotá,2965,2022-02-01
2021-02-27,2021,13001,Cartagena,736,2022-02-01
2021-02-27,2021,15,Boyacá,1013,2022-02-01
2021-02-27,2021,17,Caldas,2132,2022-02-01
2021-02-27,2021,23,Córdoba,76,2022-02-01
2021-02-27,2021,25,Cundinamarca,1988,2022-02-01
2021-02-27,2021,94,Guainía,904,2022-02-01
2021-02-27,2021,41,Huila,228,2022-02-01
2021-02-27,2021,44,La Guajira,562,2022-02-01
2021-02-27,2021,50,Meta,605,2022-02-01
2021-02-27,2021,52,Nariño,1520,2022-02-01
2021-02-27,2021,54,Norte de Santander,28,2022-02-01
2021-02-27,2021,63,Quindío,440,2022-02-01
2021-02-27,2021,66,Risaralda,12,2022-02-01
2021-02-27,2021,73,Tolima,982,2022-02-01
2021-02-27,2021,76,Valle del Cauca,2451,2022-02-01
2021-02-27,2021,97,Vaupés,131,2022-02-01
2021-02-27,2021,99,Vichada,23,2022-02-01
2021-02-28,2021,91,Amazonas,642,2022-02-01
2021-02-28,2021,5,Antioquia,2748,2022-02-01
2021-02-28,2021,81,Arauca,7,2022-02-01
2021-02-28,2021,8,Atlántico,748,2022-02-01
2021-02-28,2021,8001,Barranquilla,834,2022-02-01
2021-02-28,2021,11,Bogotá,1078,2022-02-01
2021-02-28,2021,13001,Cartagena,627,2022-02-01
2021-02-28,2021,15,Boyacá,542,2022-02-01
2021-02-28,2021,17,Caldas,976,2022-02-01
2021-02-28,2021,20,Cesar,179,2022-02-01
2021-02-28,2021,23,Córdoba,51,2022-02-01
2021-02-28,2021,25,Cundinamarca,2,2022-02-01
2021-02-28,2021,41,Huila,180,2022-02-01
2021-02-28,2021,44,La Guajira,20,2022-02-01
2021-02-28,2021,47,Magdalena,425,2022-02-01
2021-02-28,2021,52,Nariño,897,2022-02-01
2021-02-28,2021,54,Norte de Santander,72,2022-02-01
2021-02-28,2021,63,Quindío,150,2022-02-01
2021-02-28,2021,66,Risaralda,134,2022-02-01
2021-02-28,2021,73,Tolima,1292,2022-02-01
2021-02-28,2021,76,Valle del Cauca,1316,2022-02-01
2021-02-28,2021,76109,Buenaventura,21,2022-02-01
2021-02-28,2021,99,Vichada,57,2022-02-01
2021-03-01,2021,91,Amazonas,636,2022-02-01
2021-03-01,2021,5,Antioquia,2867,2022-02-01
2021-03-01,2021,81,Arauca,3,2022-02-01
2021-03-01,2021,8,Atlántico,492,2022-02-01
2021-03-01,2021,8001,Barranquilla,614,2022-02-01
2021-03-01,2021,11,Bogotá,793,2022-02-01
2021-03-01,2021,13,Bolívar,382,2022-02-01
2021-03-01,2021,13001,Cartagena,440,2022-02-01
2021-03-01,2021,15,Boyacá,797,2022-02-01
2021-03-01,2021,17,Caldas,26,2022-02-01
2021-03-01,2021,18,Caquetá,46,2022-02-01
2021-03-01,2021,85,Casanare,117,2022-02-01
2021-03-01,2021,19,Cauca,42,2022-02-01
2021-03-01,2021,20,Cesar,858,2022-02-01
2021-03-01,2021,23,Córdoba,301,2022-02-01
2021-03-01,2021,25,Cundinamarca,730,2022-02-01
2021-03-01,2021,94,Guainía,740,2022-02-01
2021-03-01,2021,95,Guaviare,97,2022-02-01
2021-03-01,2021,41,Huila,252,2022-02-01
2021-03-01,2021,44,La Guajira,147,2022-02-01
2021-03-01,2021,47,Magdalena,422,2022-02-01
2021-03-01,2021,50,Meta,393,2022-02-01
2021-03-01,2021,52,Nariño,1151,2022-02-01
2021-03-01,2021,54,Norte de Santander,126,2022-02-01
2021-03-01,2021,86,Putumayo,83,2022-02-01
2021-03-01,2021,63,Quindío,352,2022-02-01
2021-03-01,2021,66,Risaralda,138,2022-02-01
2021-03-01,2021,88,San Andrés y Providencia,13,2022-02-01
2021-03-01,2021,68,Santander,738,2022-02-01
2021-03-01,2021,70,Sucre,220,2022-02-01
2021-03-01,2021,73,Tolima,546,2022-02-01
2021-03-01,2021,76,Valle del Cauca,2075,2022-02-01
2021-03-01,2021,76109,Buenaventura,132,2022-02-01
2021-03-01,2021,97,Vaupés,415,2022-02-01
2021-03-01,2021,99,Vichada,2,2022-02-01
2021-03-02,2021,91,Amazonas,619,2022-02-01
2021-03-02,2021,5,Antioquia,2966,2022-02-01
2021-03-02,2021,81,Arauca,56,2022-02-01
2021-03-02,2021,8,Atlántico,225,2022-02-01
2021-03-02,2021,8001,Barranquilla,573,2022-02-01
2021-03-02,2021,11,Bogotá,308,2022-02-01
2021-03-02,2021,13,Bolívar,816,2022-02-01
2021-03-02,2021,13001,Cartagena,268,2022-02-01
2021-03-02,2021,15,Boyacá,453,2022-02-01
2021-03-02,2021,17,Caldas,223,2022-02-01
2021-03-02,2021,18,Caquetá,299,2022-02-01
2021-03-02,2021,85,Casanare,469,2022-02-01
2021-03-02,2021,19,Cauca,665,2022-02-01
2021-03-02,2021,20,Cesar,661,2022-02-01
2021-03-02,2021,27,Chocó,185,2022-02-01
2021-03-02,2021,23,Córdoba,804,2022-02-01
2021-03-02,2021,25,Cundinamarca,676,2022-02-01
2021-03-02,2021,94,Guainía,487,2022-02-01
2021-03-02,2021,95,Guaviare,70,2022-02-01
2021-03-02,2021,41,Huila,284,2022-02-01
2021-03-02,2021,44,La Guajira,317,2022-02-01
2021-03-02,2021,47,Magdalena,121,2022-02-01
2021-03-02,2021,47001,Santa Marta,460,2022-02-01
2021-03-02,2021,50,Meta,345,2022-02-01
2021-03-02,2021,52,Nariño,1339,2022-02-01
2021-03-02,2021,54,Norte de Santander,326,2022-02-01
2021-03-02,2021,86,Putumayo,120,2022-02-01
2021-03-02,2021,63,Quindío,505,2022-02-01
2021-03-02,2021,66,Risaralda,565,2022-02-01
2021-03-02,2021,88,San Andrés y Providencia,16,2022-02-01
2021-03-02,2021,68,Santander,1734,2022-02-01
2021-03-02,2021,70,Sucre,638,2022-02-01
2021-03-02,2021,73,Tolima,493,2022-02-01
2021-03-02,2021,76,Valle del Cauca,2682,2022-02-01
2021-03-02,2021,76109,Buenaventura,13,2022-02-01
2021-03-02,2021,97,Vaupés,358,2022-02-01
2021-03-02,2021,99,Vichada,5,2022-02-01
2021-03-03,2021,91,Amazonas,357,2022-02-01
2021-03-03,2021,5,Antioquia,1778,2022-02-01
2021-03-03,2021,81,Arauca,22,2022-02-01
2021-03-03,2021,8,Atlántico,303,2022-02-01
2021-03-03,2021,8001,Barranquilla,318,2022-02-01
2021-03-03,2021,11,Bogotá,5183,2022-02-01
2021-03-03,2021,13,Bolívar,945,2022-02-01
2021-03-03,2021,13001,Cartagena,286,2022-02-01
2021-03-03,2021,15,Boyacá,242,2022-02-01
2021-03-03,2021,17,Caldas,59,2022-02-01
2021-03-03,2021,18,Caquetá,309,2022-02-01
2021-03-03,2021,85,Casanare,411,2022-02-01
2021-03-03,2021,19,Cauca,1246,2022-02-01
2021-03-03,2021,20,Cesar,150,2022-02-01
2021-03-03,2021,27,Chocó,155,2022-02-01
2021-03-03,2021,23,Córdoba,1074,2022-02-01
2021-03-03,2021,25,Cundinamarca,437,2022-02-01
2021-03-03,2021,94,Guainía,297,2022-02-01
2021-03-03,2021,95,Guaviare,73,2022-02-01
2021-03-03,2021,41,Huila,778,2022-02-01
2021-03-03,2021,44,La Guajira,226,2022-02-01
2021-03-03,2021,47,Magdalena,16,2022-02-01
2021-03-03,2021,47001,Santa Marta,90,2022-02-01
2021-03-03,2021,50,Meta,103,2022-02-01
2021-03-03,2021,52,Nariño,1078,2022-02-01
2021-03-03,2021,54,Norte de Santander,692,2022-02-01
2021-03-03,2021,86,Putumayo,227,2022-02-01
2021-03-03,2021,63,Quindío,300,2022-02-01
2021-03-03,2021,66,Risaralda,722,2022-02-01
2021-03-03,2021,88,San Andrés y Providencia,41,2022-02-01
2021-03-03,2021,68,Santander,1254,2022-02-01
2021-03-03,2021,70,Sucre,773,2022-02-01
2021-03-03,2021,73,Tolima,221,2022-02-01
2021-03-03,2021,76,Valle del Cauca,3514,2022-02-01
2021-03-03,2021,76109,Buenaventura,41,2022-02-01
2021-03-03,2021,97,Vaupés,478,2022-02-01
2021-03-04,2021,91,Amazonas,2056,2022-02-01
2021-03-04,2021,5,Antioquia,2533,2022-02-01
2021-03-04,2021,81,Arauca,77,2022-02-01
2021-03-04,2021,8,Atlántico,1,2022-02-01
2021-03-04,2021,8001,Barranquilla,183,2022-02-01
2021-03-04,2021,11,Bogotá,11060,2022-02-01
2021-03-04,2021,13,Bolívar,477,2022-02-01
2021-03-04,2021,13001,Cartagena,151,2022-02-01
2021-03-04,2021,15,Boyacá,216,2022-02-01
2021-03-04,2021,18,Caquetá,207,2022-02-01
2021-03-04,2021,85,Casanare,312,2022-02-01
2021-03-04,2021,19,Cauca,594,2022-02-01
2021-03-04,2021,20,Cesar,32,2022-02-01
2021-03-04,2021,27,Chocó,171,2022-02-01
2021-03-04,2021,23,Córdoba,495,2022-02-01
2021-03-04,2021,25,Cundinamarca,1118,2022-02-01
2021-03-04,2021,94,Guainía,296,2022-02-01
2021-03-04,2021,95,Guaviare,26,2022-02-01
2021-03-04,2021,41,Huila,1043,2022-02-01
2021-03-04,2021,44,La Guajira,190,2022-02-01
2021-03-04,2021,47,Magdalena,24,2022-02-01
2021-03-04,2021,47001,Santa Marta,651,2022-02-01
2021-03-04,2021,50,Meta,330,2022-02-01
2021-03-04,2021,52,Nariño,777,2022-02-01
2021-03-04,2021,54,Norte de Santander,636,2022-02-01
2021-03-04,2021,86,Putumayo,142,2022-02-01
2021-03-04,2021,63,Quindío,91,2022-02-01
2021-03-04,2021,66,Risaralda,342,2022-02-01
2021-03-04,2021,68,Santander,1088,2022-02-01
2021-03-04,2021,70,Sucre,1090,2022-02-01
2021-03-04,2021,73,Tolima,557,2022-02-01
2021-03-04,2021,76,Valle del Cauca,2235,2022-02-01
2021-03-04,2021,76109,Buenaventura,13,2022-02-01
2021-03-04,2021,97,Vaupés,383,2022-02-01
2021-03-04,2021,99,Vichada,36,2022-02-01
2021-03-05,2021,91,Amazonas,2752,2022-02-01
2021-03-05,2021,5,Antioquia,2743,2022-02-01
2021-03-05,2021,81,Arauca,195,2022-02-01
2021-03-05,2021,8,Atlántico,241,2022-02-01
2021-03-05,2021,8001,Barranquilla,1699,2022-02-01
2021-03-05,2021,11,Bogotá,5152,2022-02-01
2021-03-05,2021,13,Bolívar,448,2022-02-01
2021-03-05,2021,13001,Cartagena,126,2022-02-01
2021-03-05,2021,15,Boyacá,549,2022-02-01
2021-03-05,2021,17,Caldas,654,2022-02-01
2021-03-05,2021,18,Caquetá,226,2022-02-01
